AWG Size,Stranding,Type,Construction,material,OD,Area,Weight,Breaking Strength,Resistance,,
,,,,,mm,mm^2,kg/km,kgf,Ohms/km,,,,,,
56,1,S,Solid,copper,0.0124,0.00012,0.001,0,154039,,
54,1,S,Solid,copper,0.0157,0.0002,0.002,0,94520,,
52,1,S,Solid,copper,0.0198,0.00031,0.003,0.01,60493,,
50,1,S,Solid,copper,0.0251,0.0005,0.005,0.01,37703,,
48,1,S,Solid,copper,0.0315,0.00078,0.007,0.02,24029,,
46,1,S,Solid,copper,0.0399,0.0012,0.011,0.03,14924,,
44,1,S,Solid,copper,0.0508,0.002,0.018,0.05,9426,,
42,1,S,Solid,copper,0.0635,0.0032,0.028,0.08,5908,,
42,7/50,C,7/50,copper,0.0762,0.0035,0.032,0.09,5548,,
40,1,S,Solid,copper,0.0787,0.0049,0.043,0.12,3781,,
40,7/48,C,7/48,copper,0.094,0.0055,0.05,0.13,3536,,
40,10/50,B,10/50,copper,0.0914,0.005,0.046,0.12,3846,,
39,1,S,Solid,copper,0.0889,0.0062,0.055,0.15,2944,,
38,1,S,Solid,copper,0.102,0.0081,0.072,0.2,2237,,
38,7/46,C,7/46,copper,0.119,0.0087,0.081,0.22,2196,,
38,10/48,B,10/48,copper,0.114,0.0078,0.071,0.19,2451,,
38,16/50,B,16/50,copper,0.117,0.008,0.073,0.2,2404,,
36,1,S,Solid,copper,0.127,0.013,0.11,0.31,1417,,
36,7/44,C,7/44,copper,0.152,0.014,0.13,0.35,1387,,
36,10/48,B,10/48,copper,0.145,0.012,0.11,0.31,1522,,
36,16/48,B,16/48,copper,0.145,0.012,0.11,0.31,1532,,
36,19/48,C,19/48,copper,0.157,0.015,0.14,0.36,1303,,
36,25/50,B,25/50,copper,0.145,0.012,0.11,0.31,1538,,
34,1,S,Solid,copper,0.16,0.02,0.18,0.5,885,,
34,7/42,C,7/42,copper,0.191,0.022,0.2,0.55,869,,
34,10/44,B,10/44,copper,0.185,0.02,0.18,0.5,961,,
34,16/46,B,16/46,copper,0.185,0.02,0.18,0.49,951,,
34,19/46,C,19/46,copper,0.201,0.024,0.22,0.58,809,,
34,25/48,B,25/48,copper,0.183,0.019,0.18,0.48,980,,
34,40/50,B,40/50,copper,0.183,0.02,0.18,0.49,961,,
32,1,S,Solid,copper,0.203,0.032,0.29,0.8,545,,
32,7/40,C,7/40,copper,0.236,0.034,0.31,0.84,556,,
32,10/42,B,10/42,copper,0.231,0.032,0.29,0.78,603,,
32,16/44,B,16/44,copper,0.234,0.032,0.29,0.8,601,,
