Part #,awg,strands/awg,conductor_material,insulation_material,insulation_thickness,insulation_od,conductor_od,weight/length,Voltage(DC)
,,,,,mm,mm,mm,g/m,V
22759/32-28-X,28,7/36,copper,etfe,,0.68,0.32,,600
22759/32-26-X,26,19/38,copper,etfe,,0.81,0.4,,600
22759/32-24-X,24,19/36,copper,etfe,,0.94,0.51,,600
22759/32-22-X,22,19/34,copper,etfe,,1.09,0.64,,600
22759/32-20-X,20,19/32,copper,etfe,,1.27,0.81,,600
22759/32-18-X,18,19/30,copper,etfe,,1.52,1.02,,600
22759/32-16-X,16,19/29,copper,etfe,,1.73,1.29,,600
22759/32-14-X,14,19/27,copper,etfe,,2.16,1.62,,600
22759/32-12-X,12,37/28,copper,etfe,,2.62,2.05,,600
